"gx" "gy" 
"MANGZE" 374.17 414.13
"SHORCR" 420.63 468.59
"PALATH" 478.02 273.51
"AGROHO" 211.82 137.96
"MESUNA" 453.71 459.12
"SYZYMA" 233.2 261.04
"SHORME" 313.61 121.13
"UNIDEN" 441.58 254.25
"DESMZE" 492.35 194.01
"AGROHO" 164.62 9.5
"MESUNA" 272.46 134.42
"PSYCNI" 144.3 178.88
"LITSLO" 177.55 410.37
"CLERIN" 0.51 296.84
"SHORDI" 421.11 453.59
"GARCHE" 166.08 307.82
"AGROHO" 80.45 79.26
"TIMOJA" 102.4 132.92
"SEMEWA" 223.46 241.02
"MYRIDA" 116.2 101.86
"SHORWO" 421.19 280.96
"UNIDEN" 469.62 100
"HUMBLA" 182.4 322.16
"AGROHO" 91.85 77.35
"PSYCNI" 273.66 322.2
"UROPEL" 178.64 372.29
"SHORCR" 484.65 411.3
"UNIDEN" 213.95 72.42
"MESUNA" 362.16 177.45
"MESUNA" 471.31 116.31
"MESUNA" 345.82 111.29
"PSYCNI" 265.13 319.4
"HUMBLA" 188.43 347.04
"GAERRO" 164.01 271.1
"PALAPE" 485 298.57
"MESUFE" 361.34 135.87
"AGROIN" 397.21 85.49
"SHORCR" 340.45 60.64
"GARCMO" 388.89 346.9
"HUMBLA" 131.73 364.62
"PALACA" 113.7 408.52
"HUMBLA" 203.55 331.83
"HUMBLA" 411.77 242.87
"SCHUCA" 210.84 155.68
"CULLCE" 344.18 403.13
"MYRIDA" 248.67 205.39
"DIOSAC" 304.41 141.98
"SYZYNE" 196.08 410.75
"MANGZE" 290.61 241.9
"MESUFE" 430.85 387.57
"DIOSHI" 252.77 5.14
"MESUNA" 453.63 374.71
"MESUFE" 99.33 50.66
"GARCHE" 24.26 397.43
"MESUFE" 334.95 21.84
"HUMBLA" 482.59 308.89
"HUMBLA" 303.49 94.08
"ELAEGL" 86.4 131.89
"AGROHO" 82.8 67.48
"SYZYNE" 52.52 421.19
"UROPEL" 106.95 472.59
"AGROIN" 187.68 70.33
"UROPEL" 12.11 281.44
"UNIDEN" 100.77 324.79
"SHORWO" 455.71 452.66
"PSYCDU" 47.1 191.96
"PALATH" 427.14 1.18
"MESUNA" 482.35 411.15
"SHORAF" 472 427.94
"MYRIDA" 57.85 432.87
"MESUFE" 368.55 217.31
"PALACA" 159.04 149.4
"PALATH" 336 163.84
"MEMEAR" 484.45 384.95
"PALATH" 322.59 345.76
"HUMBLA" 493.7 401.34
"MESUNA" 175.49 316.68
"UROPEL" 389.27 43.3
"CULLCE" 218.8 295.87
"PALACA" 118.01 106.65
"GARCHE" 15.24 463.74
"SYMPCO" 115.05 425.14
"AGROHO" 84.66 66.1
"CRYPWI" 383.18 25.56
"SHORWO" 440.68 449.56
"MESUNA" 474.14 300.69
"AGROIN" 65.38 99.71
"SHORAF" 390.79 352.67
"AGROHO" 189.09 53.3
"AGROIN" 452.94 190.69
"LITSLO" 133.48 447.86
"PSYCNI" 58.83 401.65
"SEMEWA" 268.24 427.75
"AGROHO" 181.38 76.59
"SYZYNE" 351.39 406.6
"AGROIN" 468.74 149.67
"EUPHLO" 499.7 476.58
"AGROHO" 150.26 18.77
"SHORME" 168.75 104.04
"PALATH" 446.27 462.32
"PALAPE" 434.34 452.75
"AGROIN" 223.1 6.02
"SHORDI" 464.19 400.58
"PSYCNI" 149.69 112.17
"MESUNA" 26.06 80
"PSYCNI" 320.35 464.77
"AGROIN" 283.18 123.01
"AGROIN" 22.38 98.48
"SHORDI" 459.63 85.75
"SEMEWA" 495.72 19.5
"MESUNA" 471.86 452.36
"HUMBLA" 308.87 103.04
"MESUNA" 348.13 124.31
"SHORDI" 402.08 94.27
"HUMBLA" 175.39 319.47
"HUMBLA" 197.16 79.55
"MESUNA" 410.62 330.87
"SHORDI" 476.58 106.86
"GARCHE" 38.63 385.11
"SHORCR" 386.89 490.73
"SHORME" 338.05 200.81
"SEMEAC" 98.4 312.82
"GLOCAC" 306.15 457.43
"CRYPWI" 40.55 286.1
"SHORCR" 79.9 184.02
"MESUNA" 388.76 188.95
"HUMBLA" 496.03 287.2
"SYZYNE" 265.68 421.65
"AGROIN" 139.06 339.8
"UNIDEN" 54.55 275.57
"XYLOCH" 194.02 248.89
"SHORDI" 340.66 101.47
"SHORWO" 465.82 426.62
"AGROIN" 392.52 356.01
"AGROIN" 208 56.12
"UNIDEN" 231.25 445.77
"SHORCR" 346.57 50.14
"MESUNA" 349.87 370.73
"SHORDI" 485.54 150.96
"PSYCNI" 193.01 383.05
"GARCMO" 477.41 149.02
"SHORME" 327.16 160.5
"MASTTE" 276.52 304.6
"AGROIN" 370.85 443.76
"CULLCE" 245.04 70.85
"SHORST" 67.36 333.02
"TRICER" 197.9 285.39
"SHORDI" 418.27 155.3
"AGROHO" 83.97 80.96
"PSYCNI" 37.1 431.58
"SHORST" 316.58 86.45
"MESUFE" 322.41 31.98
"AGROIN" 121.07 344.04
"HUMBLA" 469.77 204.6
"SHORDI" 432.82 221.29
"HUMBLA" 466.71 418.93
"AGROIN" 188.92 86.03
"SYZYLI" 183.14 303.69
"SHORWO" 430.97 420.29
"IXORJU" 385.58 387.71
"AGROIN" 250.43 41.21
"CINNCA" 193.71 164.3
"AGROIN" 464.48 164.91
"SHORCR" 420.18 29.42
"UROPEL" 247.43 309.4
"PALAPE" 259.63 89.71
"PRISTE" 439.21 407.28
"MESUNA" 407.25 103.88
"CINNCA" 250.71 444.47
"HUMBLA" 462.15 85.21
"PSYCDU" 320.71 465.28
"MASTTE" 118 481.05
"PSYCNI" 37.76 219.12
"CHAECO" 227.77 160.98
"SHORME" 227.64 88.09
"UROPEL" 101.3 236.05
"AGROHO" 54.51 76.68
"SHORAF" 376.1 104.64
"NOTHBE" 222.57 157.74
"MESUNA" 456.45 283.47
"AGROHO" 186.25 17.5
"AGROIN" 244.04 151.09
"HUMBLA" 23.74 104.31
"ANTIPY" 244.32 369.74
"PALACA" 174.21 141.34
"PSYCNI" 122.91 241.47
"XYLOCH" 63.71 233.75
"MESUNA" 57.62 89.36
"SCHUCA" 59.34 141.21
"CULLRO" 428.22 491.73
"AGROIN" 393.28 183.65
"PALACA" 199.84 195.8
"MASTTE" 43.75 151.07
"HUMBLA" 448.94 447.11
"AGROIN" 196.27 109.38
"HUMBLA" 440.56 346.6
"MYRIDA" 291.62 5.93
"BHESCE" 271.1 41.1
"GARCHE" 409.35 463.52
"UNIDEN" 138.37 364.53
"AGROIN" 411.85 369.19
"DIOSAC" 473.25 443.4
"HUMBLA" 126.09 321.5
"MESUNA" 398.08 13.53
"AGROIN" 439.9 85.32
"PALATH" 69.75 463.61
"SHORWO" 371.43 375.87
"HUMBLA" 135.14 383.6
"AGROIN" 296.58 14.02
"AGROHO" 43.86 64.05
"PALAPE" 448.45 453.07
"AGROIN" 474.81 129.46
"HUMBLA" 379.37 382.22
"SHORAF" 425.52 22.69
"PALACA" 298.73 208.08
"APAMSI" 193.48 187.25
"AGROIN" 467.84 270.2
"GAERVA" 9.81 133.25
"DIOSAC" 425.93 84.46
"CULLRO" 270.11 103.9
"CULLRO" 457.98 206.82
"SCHUCA" 322.87 437.66
"SHORDI" 419.38 55.88
"PALACA" 352.84 98.74
"SYZYWI" 23.55 139.1
"HUMBLA" 13.45 90.91
"SHORWO" 438.95 412.84
"SHORCR" 295.85 3.8
"GARCHE" 7.59 413.2
"GARCHE" 35.53 390.25
"GARCHE" 125.55 94.06
"MESUNA" 197.18 351.89
"SEMEGA" 200 479.2
"AGROHO" 176.17 29.71
"MEMERO" 64.76 186.5
"CULLRO" 449.73 359.22
"MEMERO" 484.61 132.63
"MESUNA" 409.2 97.99
"GLOCAC" 6.1 195.13
"SYMPCC" 95.15 183.78
"HUMBLA" 146.14 192.11
"EUONWA" 196 493.23
"AGROHO" 114.48 46.34
"MESUNA" 53.01 100.74
"LEEAIN" 67.75 283.81
"SHORDI" 458.58 261.39
"ANISCI" 99.26 275.66
"SEMEWA" 81.42 116.3
"AGROIN" 458.57 61.4
"GAERVA" 217.46 381.6
"MESUFE" 357.64 438.78
"TRICER" 194.31 246.85
"MESUFE" 410.92 227.59
"GARCMO" 430.35 8.43
"SCHUCA" 169.49 293.51
"PSYCDU" 97.45 175.56
"PALACA" 131.43 145.5
"MESUNA" 453.48 390.47
"PSYCNI" 133.96 416.7
"MANGZE" 405.15 135.19
"MEMEAR" 432.32 62.25
"SCOLAC" 105.86 429.13
"MESUNA" 432.27 354.21
"SHORAF" 20.96 386.63
"GARCHE" 311.35 374.87
"SHORWO" 463.05 186.05
"SEMEGA" 82.33 469.68
"SHORME" 234.8 79.81
"GARCHE" 274.33 120.9
"DIOSAC" 385.61 265.86
"GLOCAC" 217.68 240
"GAERVA" 323.2 118.98
"CULLRO" 310.28 119.17
"MESUNA" 392.52 105.47
"ERYTOB" 116.62 243.38
"HUMBLA" 386.2 345.5
"UROPEL" 220.58 238.8
"SHORAF" 402.86 467.29
"PSYCNI" 313.3 468
"SHORWO" 416.08 358.21
"HUMBLA" 499.17 169.76
"SHORCR" 377.28 60
"PALATH" 395.49 67.84
"NOTHBE" 296.65 170.77
"MESUNA" 477.14 431.39
"HUMBLA" 405.04 315.31
"CHAECO" 464.91 448.2
"AGROHO" 130.29 19.62
"SHORAF" 465.15 455.65
"HUMBLA" 298.5 359.9
"SHORCR" 263.62 0.85
"MEMERO" 459.47 376.32
"SHORWO" 437.2 169.2
"MESUNA" 371.43 190.57
"MESUFE" 344.91 450.32
"DIOSAC" 417.54 330.51
"SHORWO" 473.17 156.37
"MESUFE" 382.28 479.75
"ANISCI" 321.92 74.51
"MESUNA" 463.69 72.05
"MESUFE" 493.96 236.86
"MESUFE" 359.95 146.45
"SHORME" 4.75 6.1
"SHORWO" 498.83 255.24
"AGROIN" 417.36 292.79
"SHORDI" 412.43 453.25
"GLOCZE" 73.68 38.6
"MASTTE" 183.41 188.24
"GARCHE" 188.9 423.44
"CALOBR" 186.6 163.61
"SHORDI" 428.84 237.14
"MESUFE" 379.25 411.06
"AGROHO" 98.27 65.97
"SHORWO" 495.15 250.19
"LITSGA" 71.67 458.58
"AGROHO" 237.08 20.59
"PRISTE" 236.36 14.71
"PSYCNI" 273.93 67.06
"SHORDI" 400.24 80.11
"AGROIN" 493.9 468.79
"HUMBLA" 402.81 183.22
"UNIDEN" 457.65 154.27
"AGROIN" 281.51 114.48
"AGROIN" 37.43 104.52
"SHORDI" 407.55 60.09
"GARCHE" 407.55 347.71
"PSYCNI" 287.43 400.84
"UNIDEN" 349.96 200.34
"MASTTE" 301.89 225
"PALATH" 366.04 73.07
"HUMBLA" 322.86 95.38
"MANGZE" 493.3 481.82
"GAERVA" 230.38 472.48
"GOMPSE" 18.58 310.15
"UROPEL" 80.63 335.67
"MACAIN" 219.52 220.78
"ACTIAL" 106.1 471.06
"VITEAL" 20.48 180.45
"PSYCDU" 193.64 199.3
"AGROIN" 221.5 97.36
"AGROIN" 203.26 57.64
"DIOSAC" 324.57 80.25
"SHORDI" 195.52 67.53
"HUMBLA" 198.45 71.91
"PALAGR" 496.36 94.21
"CINNVE" 414.84 42.14
"PALACA" 153.11 227.31
"MESUNA" 197.88 47.74
"AGROIN" 193.98 67.17
"SHORDI" 306.5 63.58
"GAERRO" 240.35 151.59
"SHORME" 118.81 26.5
"GAERVA" 78.43 321.4
"UNIDEN" 383.04 338.27
"AGROIN" 249.61 137.35
"LITSLO" 430.63 260.74
"GAERRO" 281.15 329.15
"MYRIDA" 305.28 196.78
"MEMERO" 104.5 141.95
"DILLRE" 275.95 463.82
"PSYCDU" 119.31 91.73
"LEEAIN" 97.9 464.02
"MASTTE" 139.4 453.39
"AGROIN" 248.71 147.82
"PALACA" 284.3 376.8
"HUMBLA" 376.5 377.98
"DIOSQU" 332.77 382.84
"SHORCR" 486.97 247.63
"MESUNA" 359.72 111
"LITSIT" 468.92 349.61
"MESUNA" 435.51 251.48
"GARCHE" 266.67 148.87
"PALACA" 240.68 156.72
"GARCHE" 3.12 61.35
"SHORDI" 345.95 186.92
"PALACA" 371.27 226.28
"STRONA" 297.88 55.23
"UNIDEN" 77.36 353.15
"SYZYLI" 103.07 226.07
"AGROIN" 188.17 344
"MEMEAR" 360.96 265.1
"UNIDEN" 277.48 351.98
"MEMERO" 255.74 257.03
"PALATH" 498.74 365.81
"HUMBLA" 94.39 91.52
"SHORCN" 143 309.95
"SHORAF" 443.57 176.15
"SHORST" 134.95 225
"SHORCR" 420.26 17.88
"PALAPE" 450.63 34.77
"AGROIN" 386.5 207.87
"HOPEJU" 383.21 341
"UROPEL" 179.78 368.08
"MESUNA" 423.04 243.71
"PALATH" 422.96 368.39
"AGROIN" 420.48 356.05
"SEMESU" 154 309.5
"AGROIN" 445.57 4.48
"MESUNA" 493.17 345.3
"PSYCNI" 195.75 421.44
"HOPEJU" 438.55 295.67
"EURYAC" 30.75 478.69
"URANAP" 293.5 97.25
"SHORDI" 461.89 77.03
"CRYPWI" 84.42 187.48
"AGROIN" 432.68 69.55
"CULLRO" 424.81 190.96
"SHORAF" 384.05 10.3
"LITSIT" 487.55 337.16
"CARACA" 18.7 2.45
"HUMBLA" 199.56 340.79
"XYLOCH" 142.89 332.15
"MYRIDA" 52.34 427.86
"HUMBLA" 481.5 208.45
"UNIDEN" 276.92 368.75
"CULLRO" 273.57 224.16
"AGROIN" 256.23 12.61
"PALACA" 155.49 329.07
"HUMBLA" 414.12 157.35
"SHORME" 397.98 268.5
"SEMEWA" 343.21 441.86
"AGROIN" 384.54 422.05
"SCHUCA" 105.8 134.24
"MEMEAR" 491.52 171.89
"MEMERO" 142.32 372.6
"HUMBLA" 76.36 378.46
"PSYCNI" 265.82 218.33
"LEEAIN" 4.1 327.1
"PSYCNI" 284.22 154.33
"XYLOCH" 440.53 154.8
"SHORAF" 478.7 385.2
"HUMBLA" 38.3 86.63
"MADHFU" 448.72 155.56
"PSYCNI" 140.71 492.2
"PALACA" 137.26 59.95
"HUMBLA" 10.27 58.51
"SHORTR" 218.19 479
"PALACA" 409.55 263.21
"PSYCNI" 181.43 91.12
"MESUFE" 254.62 68.75
"SHORDI" 471.15 358.64
"PALATH" 441.62 136.96
"MESUNA" 454.09 150.31
"IXORJU" 494.54 62
"AGROHO" 113.81 65.05
"MESUNA" 348.98 21.76
"MESUNA" 48.15 100.63
"PALACA" 136.45 57.25
"PALACA" 374.08 481.19
"UNIDEN" 412.55 204.9
"GYRIWA" 213.27 30.66
"MESUFE" 263.48 71.49
"GAERVA" 74.06 175.1
"SHORWO" 363.31 460.29
"SHORME" 184.49 109.03
"PSYCNI" 173.85 173.53
"MESUFE" 306.23 80.51
"MEMECL" 45.87 53.85
"MESUNA" 410.27 360.63
"HUMBLA" 30.97 92.4
"MESUNA" 459.11 259.13
"DILLRE" 90.88 244.31
"PSYCNI" 66.6 314.26
"GARCHE" 267.27 129.61
"MESUNA" 457.96 261.06
"ELAESU" 46.01 315.3
"MEMERO" 169.3 159.34
"PALAPE" 389.52 393.31
"SHORCR" 381.67 274.29
"PALACA" 240.1 355.49
"MESUFE" 425.32 289.35
"PALACA" 118.11 411.47
"MESUFE" 339.81 133.92
"CHAECO" 225.14 1.9
"SYZYNE" 147.02 325.91
"MESUNA" 451.88 173.94
"AGROHO" 121.09 79.9
"AGROHO" 199.47 24.91
"PALATH" 265.79 17.79
"UROPEL" 223.42 146.96
"MESUNA" 425.18 314.01
"GARCHE" 10.77 87.21
"GARCHE" 476.32 207.38
"PALACA" 207.55 430.56
"SCHUCA" 8.76 329.15
"HUMBLA" 101.91 190.97
"HUMBLA" 291.79 125.93
"HUMBLA" 499.17 36.44
"GARCHE" 415.84 99.4
"PSYCNI" 179.28 184.95
"UROPEL" 232.58 304.43
"LEEAIN" 92.18 438.63
"GARCHE" 413.73 176.31
"ANISCI" 365.5 291.34
"UNIDEN" 252.03 311.1
"SHORDI" 381.27 73.6
"CULLCE" 433.36 259.06
"CULLRO" 497.24 149.33
"HOPEJU" 450.54 457.17
"AGROIN" 105.5 367.62
"UNIDEN" 219.71 152.33
"MEMEAR" 490.37 338.9
"PALACA" 99.62 31.85
"PALATH" 494.43 141.24
"CRYPWI" 30.37 316.04
"AGROIN" 200.36 321.63
"SHORDI" 389.59 130
"CULLCE" 492.09 229.02
"SHORWO" 435.38 333.73
"PSYCDU" 177.08 298.4
"PSEUCH" 191.68 277.95
"MESUNA" 380.94 323.76
"PALATH" 419.58 98.28
"SCHUCA" 86.15 245.66
"SHORWO" 417.86 174.41
"SEMEWA" 79.43 236.87
"MESUFE" 414.7 122.96
"SCHUCA" 104.71 131.19
"SHORAF" 459.19 274.09
"GARCHE" 131.55 335.15
"MESUFE" 417.42 132.13
"PUTRRO" 43.46 6.02
"MEMERO" 88.27 172.98
"CHAECA" 102.25 378.7
"SHORDI" 450.15 0.88
"DIOSHI" 421.83 33.6
"MESUFE" 132.1 34.17
"PUTRRO" 468.63 56.25
"SHORDI" 468.98 364.58
"SHORDI" 252.35 129.33
"SHORME" 133.62 34.61
"PAVEIN" 318.8 39.29
"UNIDEN" 357.01 84.08
"AGROIN" 499.85 56.82
"GARCHE" 293.25 128.98
"SCHUCA" 259.81 163.4
"MESUNA" 127.62 198.81
"CHAECA" 44.72 420.59
"SHORDI" 179.33 43.15
"UNIDEN" 291.23 164.6
"SHORDI" 341.67 118.91
"MESUNA" 396.88 18.85
"PSYCNI" 79.3 496.17
"DIOSHI" 217.24 90.86
"HUMBLA" 122.86 326.68
"MESUNA" 397.87 93.06
"SHORAF" 406.86 363.01
"CULLCE" 289.77 328.87
"SHORWO" 157.14 344.8
"GARCHE" 9.74 469.55
"GAERVA" 156.73 162.77
"HUMBLA" 337.39 473.29
"AGROIN" 275.06 44.43
"HUMBLA" 414.25 197.33
"HYDNOC" 1.76 2.89
"LITSLO" 130.49 253.49
"CULLCE" 286.36 488.87
"SHORAF" 426.84 468.85
"SYZYSP" 250 225
"HUMBLA" 137.69 380.2
"AXINZE" 195 76.35
"MASTTE" 69.51 351.03
"DIOSHI" 442.52 288.01
"MESUFE" 469.29 243.59
"AGROHO" 94.05 66.89
"UNIDEN" 23.88 189.78
"PSYCNI" 165.85 395.31
"MASTTE" 181.97 178.51
"SCHUCA" 295.45 302.97
"SYZYOP" 271.15 339.66
"MESUFE" 300.38 249.52
"AGROIN" 183.03 31.84
"AGROIN" 55.87 89.36
"HUMBLA" 423 297.31
"MESUFE" 322.25 15.22
"AGROHO" 75.39 76.86
"MEMECL" 22.94 194.29
"LEEAIN" 186.2 486.28
"PRISTE" 409.1 68.6
"GAERRO" 111.55 219.63
"CULLCE" 300.56 120.61
"MESUNA" 32.83 493.66
"UROPEL" 73.98 229.42
"MESUNA" 357.68 86
"MESUNA" 440.17 456.02
"MESUFE" 324.62 78.65
"AGROHO" 91.11 70.58
"UNIDEN" 414.06 218.7
"SHORWO" 478 161.77
"AGROIN" 233.33 19.41
"GARCHE" 167.94 198
"SEMEWA" 356.42 422.67
"UNIDEN" 293.7 344.29
"HUMBLA" 419 365.81
"SYZYNE" 295.55 309.18
"MESUNA" 361.86 458.82
"SYMPHI" 282.4 327.5
"HUMBLA" 398.57 123.32
"DILLRE" 167.5 432.21
"HUMBLA" 274.96 127.2
"SCHUCA" 57.14 344.63
"UNIDEN" 215.5 390
"AGROIN" 68.7 102.02
"MESUNA" 495.89 316.33
"SHORME" 343.07 231.79
"AGROIN" 487.23 97.64
"UNIDEN" 51.81 208.96
"AGROIN" 131.34 193.52
"SCHUCA" 213 389.64
"HUMBLA" 185.1 325.4
"AXINZE" 404.79 409.28
"EUPHLO" 302.21 245.43
"HUMBLA" 332.07 85.2
"GARCHE" 60.86 472.83
"HUMBLA" 63.25 371.11
"AGROIN" 429.91 354.7
"AGROIN" 452.33 79.53
"DIOSAC" 250.18 124.65
"GAERVA" 97.79 281.51
"SHORWO" 429.88 283.02
"PSYCDU" 34.83 256.09
"CULLCE" 266.15 56.36
"MANGZE" 362.25 220.71
"SEMEGA" 57.31 316.58
"PSYCNI" 212.39 376.44
"SHORTR" 344.79 50.36
"MYRIDA" 291.98 166.44
"GARCHE" 94.22 391.25
"HOPEJU" 396.14 125.87
"AGROHO" 125.8 9.69
"PALACA" 158.35 146.64
"PSYCNI" 278.44 353.49
"HUMBLA" 445.27 143.04
"SEMEGA" 71.97 296.6
"STRONA" 406.09 361.84
"MESUNA" 229.9 54.41
"CULLRO" 117.27 9.38
"GARCHE" 133.32 332.84
"XYLOCH" 252.5 345.67
"MYRIDA" 24.32 78.43
"LASIOB" 261.94 335
"HUMBLA" 369.61 50.67
"HUMBLA" 361.5 400.73
"PALAPE" 364.96 20.24
"SHORWO" 461.12 197.26
"MESUNA" 299.13 30.41
"MESUFE" 368.58 127.34
"MESUNA" 31.39 102.19
"MESUNA" 225.25 328.87
"AGROIN" 289.43 30.24
"PALACA" 160.8 88.64
"CRYPWI" 259.72 199.5
"MESUNA" 429.22 420.34
"PALAPE" 428.79 326
"CULLCE" 342.71 161.26
"HUMBLA" 217.96 308.5
"AGROIN" 273.72 14.43
"MYRIDA" 153.56 260
"MESUNA" 220.49 106.83
"CULLCE" 204.52 37.63
"PSYCNI" 76.08 169.64
"PALACA" 156.5 176.84
"AGROHO" 104.29 72.5
"UNIDEN" 113.11 297.15
"AGROIN" 409.23 367.35
"AGROIN" 458.43 465.37
"HYDNOC" 384.23 381.98
"SHORTR" 225.49 476.65
"AGROIN" 298.77 21.55
"UNIDEN" 467.05 409.33
"SHORWO" 441.11 498.33
"MESUNA" 412.29 105.28
"AGROIN" 140.88 338.5
"MESUNA" 397.23 247.4
"SHORTR" 159.04 87.45
"MESUFE" 103.43 59.44
"PSYCDU" 247.9 479.5
"MYRIDA" 265.45 224.15
"SHORDI" 435 124.2
"MESUNA" 357.18 376.29
"GARCHE" 93.42 346.55
"SHORWO" 438.9 328.6
"SHORWO" 465.54 480.78
"GARCHE" 382.12 250.53
"MYRIDA" 26.5 253.4
"SHORDI" 354.88 327.4
"LEEAIN" 291.51 181.81
"DIOSHI" 18.3 465.19
"SEMEWA" 27.76 444.9
"HUMBLA" 231.03 351.73
"DIOSAC" 213.8 498.27
"SHORAF" 461.23 266.1
"SHORCR" 414.8 256.43
"HUMBLA" 111.16 387.33
"PALACA" 360.41 305.5
"MASTTE" 88.32 496.46
"MEMERY" 460.54 84.51
"TIMOJA" 17.35 190.29
"PSYCNI" 70.95 239.35
"GAERRO" 124.81 164.9
"DIOSIN" 83.55 430.71
"AGROIN" 400.86 359.6
"HUMBLA" 210.33 65.05
"MESUNA" 272.72 99.9
"MESUNA" 354.68 469.56
"SHORDI" 482 252.62
"MESUFE" 403.58 241.2
"SHORAF" 499.38 396.2
"CULLRO" 295.88 258.01
"CULLRO" 462.36 193.07
"DILLRE" 110 276.88
"HUMBLA" 241.12 115.74
"AXINZE" 373.77 225.28
"PSYCNI" 142.36 480.9
"GLOCAC" 186.87 218.87
"HUMBLA" 371.67 29.38
"TIMOJA" 41.25 211.08
"PALAHI" 468.75 154.58
"MYRIDA" 84.16 399.48
"UNIDEN" 270.5 286.75
"AGROIN" 263.58 15.92
"PALATH" 464.67 24.65
"HUMBLA" 72.3 78.43
"PSYCNI" 166.83 248.86
"SHORDI" 487.04 319.85
"SHORWO" 460.09 161.54
"GLYCPE" 303.58 162.98
"GAERRO" 264.75 340.92
"SYZYNE" 153.42 15.47
"HUMBLA" 147.62 199.5
"UNIDEN" 165.9 282.54
"HUMBLA" 439.36 462.14
"HUMBLA" 483.06 438
"AGROHO" 183.46 22.5
"SHORWO" 470.47 341.06
"SHORCR" 236.82 132.5
"GAERVA" 414.18 202.92
"SCHUCA" 199.1 397.7
"MESUNA" 433.39 357.52
"PALACA" 319.81 470.57
"UNIDEN" 75.05 403.75
"PSYCNI" 27.94 234.23
"PSYCNI" 237.35 276.43
"SCHUCA" 206.44 165.47
"HUMBLA" 495 427.54
"MESUFE" 437.63 224.33
"PUTRRO" 187.83 278.58
"AGROIN" 280.16 128.8
"PALAPE" 436.32 258.21
"SCHUCA" 148.27 447.79
"AGROIN" 393.43 177.08
"GAERRO" 48.59 109.13
"AGROIN" 462.26 337.16
"AGROIN" 264.96 20.24
"HUMBLA" 374.83 425.99
"CULLRO" 184.38 340.52
"SHORME" 89.71 54.96
"PSYCDU" 153.64 179.43
"SHORWO" 442.12 452.35
"UNIDEN" 50.94 384.6
"UROPEL" 492.22 237.48
"APAMSI" 252.5 396.01
"AGROIN" 394.44 185.48
"GARCHE" 159.63 199.06
"SHORTR" 214.26 247.61
"MEMEVA" 424.17 99.14
"AGROIN" 86.16 74.6
"MEMEAR" 415.26 0.19
"GAERVA" 173.07 420.93
"AGROIN" 417.83 10.94
"HUMBLA" 7.35 499.33
"GARCHE" 10.18 59.12
"MYRIDA" 473.63 210.68
"SYZYSP" 216.97 490.28
"HUMBLA" 309.29 96.08
"GARCHE" 397.65 464.04
"AGROHO" 166.85 71.67
"AGROIN" 370.27 101.34
"PALAPE" 307.08 80.26
"GARCHE" 223.75 130.37
"SHORWO" 425.91 169.41
"SHORDI" 317.41 11.36
"SHORWO" 491.72 314.7
"CALOTH" 339.62 482.91
"AGROIN" 249.31 137.65
"AGROIN" 442.46 443.32
"GARCHE" 344.64 344.9
"MESUNA" 460.24 178.33
"MESUNA" 499.43 410.66
"SHORCR" 401.77 35.73
"HUMBLA" 477.76 432.97
"SHORAF" 341.03 82.93
"POMETO" 476.23 210.35
"HUMBLA" 68.85 104.81
"MESUFE" 489.66 201.93
"AGROIN" 380.44 375.63
"UNIDEN" 416.49 182.92
"TIMOJA" 443.04 485.57
"SYZYNE" 152.48 126.96
"SYZYNE" 18.25 163.51
"PSYCNI" 52.69 202.88
"HUMBLA" 9.52 87.88
"AGROIN" 123.92 331.89
"SCHUCA" 171.5 436.2
"BHESCE" 433.58 426.37
"MESUNA" 225.6 30
"SHORWO" 418.59 450.88
"MESUNA" 401.54 453.36
"HUMBLA" 72.64 102.5
"CULLCE" 285.5 245.1
"SYZYWI" 113.65 408.7
"AGROIN" 494.84 298.75
"MESUNA" 483.22 102.71
"POMETO" 265 242.65
"CULLCE" 362.46 299.33
"DIOSIN" 81.2 152.43
"MESUNA" 458.57 258.4
"MESUNA" 34.86 99.56
"HUMBLA" 420.14 174.96
"SHORWO" 483.65 168.47
"HUMBLA" 323.1 158.21
"SHORDI" 407.95 99.46
"PSYCNI" 240 305.9
"AGROIN" 112.11 53.24
"HUMBLA" 201.7 370.7
"UNIDEN" 292.96 360.26
"MEMEPR" 455.99 143.17
"MANGZE" 188.55 170.97
"AGROIN" 420.75 161.75
"MESUFE" 419.73 220.37
"HUMBLA" 435.04 489.79
"LEEAIN" 2.3 328.8
"SHORCN" 267.54 401.02
"HUMBLA" 200 350.84
"SHORCR" 192.79 75.73
"AGROIN" 271.83 53.35
"GARCHE" 58.53 120.81
"GARCHE" 192.45 349.36
"AGROIN" 464.29 277.16
"MEMEPR" 187.55 232.97
"UNIDEN" 389.72 497.62
"SHORST" 10.42 368.33
"UNIDEN" 282 325.38
"ALLOZE" 57.5 404.76
"MESUNA" 24.04 476.65
"MESUNA" 198.9 330.5
"CULLCE" 436.55 416.96
"GARCMO" 121.39 125.61
"PSYCDU" 180.1 228.96
"MYRIDA" 41.89 195.5
"MESUNA" 438.35 392.92
"MESUFE" 396.32 399.5
"MESUNA" 23.36 86.78
"GLOCAC" 221.09 279.13
"DIOSAC" 381.09 152.82
"DIOSQU" 263.75 159.32
"LITSLO" 272.83 304.75
"UNIDEN" 91.54 381.33
"MANGZE" 186.32 360
"HUMBLA" 348.45 186.54
"UNIDEN" 9.38 429.62
"AGROHO" 96.52 80.49
"PSEUCH" 174.62 178.73
"MEMERO" 456.21 163.61
"XYLOCH" 499.45 104.23
