"gx" "gy" 
"HOPEJU" 395 30.3
"GOMPTE" 51.02 5.56
"AGROIN" 208.44 25.09
"SHORTR" 51.56 437.82
"HUMBLA" 418.36 486.37
"HUMBLA" 173.35 311.3
"SHORDI" 385.37 17.36
"AGROIN" 461.5 380.78
"SHORWO" 426.17 276.17
"SEMEWA" 324.81 416.65
"ISONLA" 447.55 12.02
"SHORCR" 354.36 357.87
"GARCSP" 166.55 163.45
"SHORAF" 489.76 169.52
"CRYPWI" 246.62 358.2
"HUMBLA" 342.67 77.26
"HUMBLA" 420.51 354.77
"SHORCR" 360.92 476.89
"SHORST" 134.6 458.54
"GARCHE" 31.55 8.41
"AGROIN" 477.64 379.8
"PUTRRO" 374.31 315.93
"PSYCNI" 46.98 23.09
"SEMESU" 445.04 26.74
"HUMBLA" 25.46 112.78
"GARCHE" 144.72 143.96
"SHORTR" 38.87 448.54
"HUMBLA" 359.45 18
"AGROIN" 379.47 374.2
"AGROHO" 118.02 77.04
"SEMEAC" 270.39 218.5
"MESUFE" 102.22 53.11
"HUMBLA" 389.22 433.07
"HUMBLA" 337.6 23.24
"AGROIN" 123.38 367.45
"AGROIN" 143.33 344.75
"MESUNA" 384.58 337.98
"AGROHO" 249.13 105.1
"MESUNA" 436.48 181.07
"MESUFE" 309.78 54.81
"HUMBLA" 27.2 90.36
"STRONA" 373.16 488.37
"MADHFU" 280.39 43.96
"GARCHE" 434.81 79.1
"SHORWO" 483.07 336.21
"AGROIN" 397.89 497.62
"HUMBLA" 393.14 400.1
"GARCHE" 25.46 103.28
"HUMBLA" 398.98 464.62
"MESUNA" 191.43 20.22
"UNIDEN" 488.76 97.69
"SYZYNE" 119.38 222.42
"PALACA" 148.36 389.62
"MESUNA" 436.38 358.82
"UNIDEN" 301.48 128.15
"CULLRO" 420.25 478.77
"MESUFE" 492.76 201.09
"GLOCAC" 28.75 453.24
"HUMBLA" 318.84 108.46
"UNIDEN" 82.5 304.77
"GARCHE" 252.06 136.83
"PRISTE" 274.13 13.68
"SHORDI" 493.21 278.7
"SHORCR" 115.37 235.04
"PALACA" 350.43 322.34
"AGROIN" 342.5 104.36
"GARCHE" 220.47 441.84
"SHORTR" 87.22 394.33
"CULLCE" 367.42 203.13
"ERYTOB" 205.57 262.48
"SHORCR" 474.76 79.09
"AGROIN" 372.59 474.95
"PSYCDU" 112.31 467.9
"UNIDEN" 98.71 308.77
"SCHUCA" 293.85 334.32
"UNIDEN" 316.84 288.3
"CHAECA" 66.25 193.92
"SHORWO" 416.84 464.42
"SHORAF" 424.33 286.85
"AGROIN" 370 490.2
"CRYPWI" 299 317
"AGROHO" 299.02 44.62
"SHORDI" 432.55 184.9
"HUMBLA" 354.69 392.15
"MESUNA" 476.12 482.17
"NARGMA" 359.65 172.8
"CULLRO" 352.46 120.13
"AGROIN" 262.8 15.69
"PSYCNI" 99.38 425.69
"UNIDEN" 56.3 217.75
"UNIDEN" 5.48 384.26
"AGROHO" 111.94 62.02
"SHORAF" 466.98 141.13
"CULLCE" 290.29 347.65
"HUMBLA" 341.12 81.11
"AGROIN" 185.94 359.75
"NOTHBE" 335.79 232.76
"AGROIN" 219.14 72.32
"SHORST" 341.42 148.2
"GAERVA" 126.47 181.6
"HUMBLA" 465.98 333.7
"SHORDI" 432.86 248.22
"SHORDI" 423.8 297.5
"GAERVA" 246.81 360.93
"SHORCR" 433.39 61.86
"HUMBLA" 116.32 67.08
"AGROIN" 182.94 366.5
"DESMZE" 491.36 225.65
"SHORDI" 492.9 322.14
"HUMBLA" 184.86 324.36
"SCHUCA" 51.42 319.37
"HYDNOC" 423.94 215.57
"ISONLA" 413.7 144.66
"XYLOCH" 444.36 22.91
"AGROHO" 159.28 74.65
"SYZYLI" 22.46 221.75
"SYMPCU" 104.09 428.93
"SYMPCO" 217.84 202.11
"HUMBLA" 434.23 153.83
"AGROIN" 488.64 442.19
"CALOTR" 8.8 194.85
"MANGZE" 272.84 248.8
"SHORAF" 390.4 48.06
"AGROIN" 124.59 350.05
"CHAECO" 39.04 327.06
"SHORWO" 475.18 398.23
"PSYCNI" 90.44 494.14
"CULLCE" 34.55 377.18
"UNIDEN" 417.3 175.43
"SYZYWI" 285.54 263.69
"DESMZE" 325.52 25.71
"MESUNA" 177.43 316.2
"AGROIN" 388.33 255.74
"SHORDI" 365.45 101.2
"SHORDI" 414.33 220.54
"SHORME" 8.01 25.53
"GARCHE" 324.91 352.36
"SEMEGA" 293.85 288.61
"NOTHBE" 289.95 443
"GLENUN" 365.09 238.8
"GARCHE" 8.88 63.5
"UNIDEN" 116.67 89.85
"GAERRO" 110.9 148.2
"SHORME" 133.03 89.18
"MESUNA" 458.45 201.23
"MESUFE" 248.71 62.45
"PSYCNI" 81.5 26.16
"CALOTH" 239.9 160.64
"AGROIN" 384.84 202.2
"GOMPSE" 23.92 231.08
"PSYCNI" 126.76 104.22
"XYLOCH" 288.69 480.52
"LITSLO" 130.4 417.97
"AGROHO" 173.21 59.95
"GAERVA" 198.4 473.89
"SYZYNE" 258.11 206.46
"SHORDI" 406.3 70.29
"GARCHE" 450.4 162.06
"LITSLO" 433.59 323.21
"SHORCR" 490.5 116.95
"HUMBLA" 127.77 379.17
"HUMBLA" 447.39 285.65
"UNIDEN" 5 350.57
"BHESCE" 240.64 142.35
"PALACA" 169.71 207.66
"CULLCE" 177.05 208.4
"ANISCI" 262.08 159.36
"SHORAF" 453.84 84.25
"UROPEL" 169.36 296.5
"MESUNA" 32.5 91.38
"SHORAF" 2.45 383.8
"CHAECO" 114.16 429.25
"BHESCE" 165.24 14.76
"MESUFE" 373.84 80.15
"GONIHO" 383.28 192.26
"SHORWO" 421.61 275.3
"URANAP" 298.13 272.35
"HUMBLA" 185.66 371.95
"CULLRO" 376.96 83.67
"LASIOB" 99.07 171.12
"SHORME" 351.95 265.58
"AGROIN" 467.69 153.49
"MESUFE" 421.04 289.8
"AGROIN" 196.04 109.33
"HUMBLA" 9.21 41
"GARCHE" 303.83 397.35
"SHORCR" 399.85 68.33
"SHORDI" 498.62 308.9
"MESUNA" 487.91 445.17
"SYZYWI" 281.75 388.87
"GLENUN" 359.11 246.79
"CULLCE" 167.46 98.83
"PSYCNI" 39.41 162.45
"GLOCAC" 113.14 329.02
"PALATH" 466.02 40.09
"HUMBLA" 372.16 459.69
"CULLRO" 215.6 51.74
"CULLRO" 409.39 278.3
"AGROHO" 158.48 22.65
"AGROIN" 105.65 207.21
"HUMBLA" 227.96 92.64
"SHORDI" 384.22 396.48
"AGROIN" 443.09 64.51
"GLENUN" 263.82 92.79
"DILLRE" 302.9 310.88
"UNIDEN" 153.27 370.83
"MASTTE" 218.01 113.71
"PALACA" 276.86 41.57
"AGROHO" 80.91 78.17
"AGROIN" 190.75 317.78
"LITSLO" 153.18 27.6
"MESUNA" 209.8 25.94
"CULLRO" 415.42 142.82
"XYLOCH" 179.13 60.89
"MASTTE" 223.55 307.93
"HUMBLA" 350.43 132.52
"GARCHE" 289.1 10.38
"MESUNA" 328.39 381.04
"MYRIDA" 99.04 334.32
"PSYCNI" 172.57 200.43
"CARACA" 294.48 443.14
"HYDNOC" 436.98 114.39
"AGROIN" 189.76 69.8
"MESUNA" 261.8 40.1
"AGROIN" 459.36 74.8
"PSYCNI" 106 398.08
"MESUNA" 472.69 185.5
"CALOTH" 94.71 219.9
"AGROIN" 473.56 161.43
"SEMEGA" 196.76 218.27
"AGROIN" 283.95 13.53
"MESUNA" 409.33 322.45
"CULLRO" 471.29 152.87
"GAERVA" 187.4 438.11
"PALAPE" 323.56 125.48
"MESUFE" 365.45 147.9
"SHORAF" 417.06 158.9
"MESUNA" 362.48 375.8
"GARCMO" 163.48 91.53
"SCHUCA" 76.88 420
"SYZYMA" 393.87 386.53
"AGROHO" 246.83 16.21
"MYRIDA" 317.32 176.86
"AGROIN" 200 50.5
"SHORTR" 80.53 180.46
"MESUNA" 362 481.57
"SHORTR" 297.73 77.12
"MESUNA" 413.95 304.62
"SHORME" 103.57 12.1
"GARCHE" 97.22 89.62
"PALATH" 58.9 40.99
"PSYCNI" 11.17 368.24
"SHORDI" 477.22 147.7
"SYZYLI" 167.4 262.96
"CALOTH" 187.9 102.93
"AGROIN" 210.12 37.41
"BHESCE" 49.29 179.76
"ANISCI" 157.72 21.13
"SEMEGA" 207.6 258.13
"MASTTE" 283.73 481.96
"APAMSI" 480.2 210.31
"PSYCNI" 46.78 157.43
"SCHUCA" 193.85 273.7
"GARCHE" 498.85 422.46
"MESUFE" 352.59 411.07
"GARCHE" 219.42 137.8
"SHORCR" 476.92 106.77
"HUMBLA" 95.04 85.85
"GARCHE" 103.62 173.87
